industry,orgSize,intSecStaff,intSecStaff2,intJuniorStaff,intGenStaff,intMonStaff,intIRStaff,intTIStaff,budget
Manufacturing,"2,001 to 5,000",2 to 10,2 to 10,1,2 to 10,1,Less than 1 ,Less than 1 ,$2 million to $4 million USD
Banking and finance,101 to 500,,Less than 1 (part-time),,Less than 1 ,,,,$2 million to $4 million USD
Banking and finance,"1,001 to 2,000",,,Less than 1 ,,2 to 10,2 to 10,2 to 10,
Education,"15,001 to 50,000",101 to 1000,,,,,,,
Manufacturing,"15,001 to 50,000",11 to 25,1,1,2 to 10,2 to 10,2 to 10,2 to 10,$1 million to $2 million USD
Education,"5,001 to 10,000",2 to 10,2 to 10,1,2 to 10,1,1,1,"$500,001 to $750,000 USD"
Healthcare,"15,001 to 50,000",2 to 10,1,Less than 1 ,2 to 10,2 to 10,Less than 1 ,Less than 1 ,"$750,001 to $1,000,000 USD"
Healthcare,"10,001 to 15,000",26 to 100,26 to 100,2 to 10,2 to 10,11 to 25,2 to 10,11 to 25,$16 million to $48 million USD
Technology,"5,001 to 10,000",,,,,,,,
Cybersecurity,"5,001 to 10,000",101 to 1000,26 to 100,11 to 25,101 to 1000,26 to 100,26 to 100,26 to 100,
Technology,"2,001 to 5,000",,26 to 100,,2 to 10,11 to 25,11 to 25,2 to 10,
Banking and finance,101 to 500,2 to 10,1,,,1,1,2 to 10,"Less than $100,000 USD"
Cybersecurity,"10,001 to 15,000",,,,,,,,
Telecommunications/ISP,"More than 100,000",101 to 1000,11 to 25,2 to 10,11 to 25,2 to 10,2 to 10,2 to 10,
Technology,"50,001 to 100,000",,,,,,,,
Banking and finance,"15,001 to 50,000",,11 to 25,Less than 1 ,Less than 1 ,1,1,1,"$100,001 to 250,000 USD"
Technology,"2,001 to 5,000",,,,,,,,
Manufacturing,"5,001 to 10,000",,,,,,,,
Government,"2,001 to 5,000",,,,,,,,
Manufacturing,"More than 100,000",,,,,,,,
Banking and finance,"More than 100,000",,26 to 100,,2 to 10,2 to 10,,2 to 10,
Healthcare,"5,001 to 10,000",,,,,,,,
Government,"15,001 to 50,000",,,,,,,,
Government,"More than 100,000",,101 to 1000,11 to 25,Less than 1 ,26 to 100,2 to 10,2 to 10,"$100,001 to 250,000 USD"
Government,"2,001 to 5,000",,,,,,,,
Manufacturing,"More than 100,000",,,,,,,,
Banking and finance,"501 to 1,000",,,,,,,,
Manufacturing,"15,001 to 50,000",,,,,,,,
Healthcare,"15,001 to 50,000",,,,,,,,
Government,"More than 100,000",,,,,,,,
Telecommunications/ISP,101 to 500,,,,,,,,
Technology,Fewer than 100,,,,,,,,
Technology,"More than 100,000",,,,,,,,
Utilities,"2,001 to 5,000",,,,,,,,
Technology,Fewer than 100,,,,,,,,
Government,"5,001 to 10,000",,,,,,,,
Manufacturing,"More than 100,000",,,,,,,,
Other (Please specify),"15,001 to 50,000",,,,,,,,
Insurance,101 to 500,,,,,,,,
Utilities,101 to 500,,,,,,,,
Government,Fewer than 100,,,,,,,,
Education,"2,001 to 5,000",,,,,,,,
Cybersecurity,101 to 500,,,,,,,,
Government,Fewer than 100,,,,,,,,
Technology,"More than 100,000",,,,,,,,
Other (Please specify),101 to 500,,,,,,,,
Transportation,"5,001 to 10,000",,,,,,,,
Insurance,101 to 500,,,,,,,,
Cybersecurity,"5,001 to 10,000",,,,,,,,
Technology,"5,001 to 10,000",,,,,,,,
Utilities,Fewer than 100,2 to 10,1,Less than 1 ,1,1,1,1,"$100,001 to 250,000 USD"
Insurance,"15,001 to 50,000",,,,,,,,
Cybersecurity,"501 to 1,000",,,,,,,,
Education,"5,001 to 10,000",2 to 10,Less than 1 (part-time),Less than 1 ,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,
Technology,101 to 500,,,,,,,,
Healthcare,"More than 100,000",,,,,,,,
Telecommunications/ISP,"10,001 to 15,000",11 to 25,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$500,001 to $750,000 USD"
Technology,"More than 100,000",,,,,,,,
Banking and finance,"2,001 to 5,000",,,,,,,,
Technology,Fewer than 100,2 to 10,,2 to 10,,2 to 10,2 to 10,2 to 10,
Banking and finance,"501 to 1,000",,,,,,,,
Banking and finance,"1,001 to 2,000",,11 to 25,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,
Technology,"More than 100,000",,,,,,,,
Government,"501 to 1,000",,,,,,,,"$100,001 to 250,000 USD"
Banking and finance,"5,001 to 10,000",11 to 25,11 to 25,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,
