industry,orgSize,intSecStaff,intSecStaff2,intJuniorStaff,intGenStaff,intMonStaff,intIRStaff,intTIStaff,budget
Banking and finance,"1,001 to 2,000",26 to 100,26 to 100,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,
Other (Please specify),"1,001 to 2,000",,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,$1 million to $2 million USD
Government,"1,001 to 2,000",11 to 25,2 to 10,1,2 to 10,2 to 10,2 to 10,2 to 10,$1 million to $2 million USD
Banking and finance,"1,001 to 2,000",11 to 25,26 to 100,26 to 100,101 to 1000,26 to 100,11 to 25,101 to 1000,$1 million to $2 million USD
Healthcare,"1,001 to 2,000",101 to 1000,101 to 1000,Greater than 1000,2 to 10,2 to 10,Less than 1 ,Less than 1 ,$1 million to $2 million USD
Government,"10,001 to 15,000",2 to 10,1,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,$1 million to $2 million USD
Manufacturing,"10,001 to 15,000",2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,$1 million to $2 million USD
Healthcare,"10,001 to 15,000",,11 to 25,2 to 10,1,2 to 10,2 to 10,1,$1 million to $2 million USD
Cybersecurity,101 to 500,11 to 25,,2 to 10,2 to 10,2 to 10,1,2 to 10,$1 million to $2 million USD
Technology,101 to 500,26 to 100,101 to 1000,2 to 10,101 to 1000,1,2 to 10,101 to 1000,$1 million to $2 million USD
Technology,101 to 500,1,1,1,2 to 10,2 to 10,1,2 to 10,$1 million to $2 million USD
Retail,101 to 500,Greater than 1000,26 to 100,26 to 100,11 to 25,Greater than 1000,1,101 to 1000,$1 million to $2 million USD
Education,101 to 500,101 to 1000,26 to 100,26 to 100,11 to 25,11 to 25,2 to 10,2 to 10,$1 million to $2 million USD
Insurance,"15,001 to 50,000",11 to 25,2 to 10,Less than 1 ,2 to 10,2 to 10,2 to 10,2 to 10,$1 million to $2 million USD
Transportation,"15,001 to 50,000",11 to 25,2 to 10,1,2 to 10,2 to 10,Less than 1 ,2 to 10,$1 million to $2 million USD
Education,"2,001 to 5,000",2 to 10,1,2 to 10,1,Less than 1 ,Less than 1 ,Less than 1 ,$1 million to $2 million USD
Hospitality,"5,001 to 10,000",2 to 10,2 to 10,1,1,1,Less than 1 ,Less than 1 ,$1 million to $2 million USD
Government,"5,001 to 10,000",26 to 100,11 to 25,2 to 10,1,1,1,1,$1 million to $2 million USD
Technology,"501 to 1,000",Less than 1 (part-time),Less than 1 (part-time),Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,$1 million to $2 million USD
Media,"501 to 1,000",,26 to 100,26 to 100,2 to 10,Greater than 1000,11 to 25,101 to 1000,$1 million to $2 million USD
Healthcare,"501 to 1,000",26 to 100,26 to 100,26 to 100,26 to 100,26 to 100,26 to 100,26 to 100,$1 million to $2 million USD
Technology,"501 to 1,000",26 to 100,26 to 100,11 to 25,26 to 100,11 to 25,26 to 100,2 to 10,$1 million to $2 million USD
Technology,"More than 100,000",,101 to 1000,26 to 100,26 to 100,11 to 25,2 to 10,2 to 10,$1 million to $2 million USD
Telecommunications/ISP,"More than 100,000",,11 to 25,2 to 10,1,1,1,1,$1 million to $2 million USD
Technology,"More than 100,000",101 to 1000,26 to 100,11 to 25,11 to 25,2 to 10,2 to 10,2 to 10,$1 million to $2 million USD
Technology,"More than 100,000",26 to 100,2 to 10,11 to 25,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,$1 million to $2 million USD
Healthcare,"More than 100,000",26 to 100,11 to 25,2 to 10,2 to 10,2 to 10,1,2 to 10,$1 million to $2 million USD
Technology,"More than 100,000",Greater than 1000,101 to 1000,26 to 100,2 to 10,2 to 10,2 to 10,11 to 25,$1 million to $2 million USD
Telecommunications/ISP,"1,001 to 2,000",,,,,,,,"$100,001 to 250,000 USD"
Technology,101 to 500,,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$100,001 to 250,000 USD"
Manufacturing,101 to 500,11 to 25,2 to 10,2 to 10,11 to 25,1,2 to 10,2 to 10,"$100,001 to 250,000 USD"
Insurance,101 to 500,11 to 25,2 to 10,2 to 10,11 to 25,11 to 25,11 to 25,11 to 25,"$100,001 to 250,000 USD"
Insurance,101 to 500,2 to 10,11 to 25,11 to 25,2 to 10,11 to 25,11 to 25,2 to 10,"$100,001 to 250,000 USD"
Cybersecurity,101 to 500,26 to 100,101 to 1000,2 to 10,101 to 1000,11 to 25,Greater than 1000,Greater than 1000,"$100,001 to 250,000 USD"
Education,101 to 500,11 to 25,1,1,1,1,1,1,"$100,001 to 250,000 USD"
Banking and finance,101 to 500,1,1,1,,,,,"$100,001 to 250,000 USD"
Manufacturing,101 to 500,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$100,001 to 250,000 USD"
Technology,101 to 500,11 to 25,2 to 10,2 to 10,2 to 10,Less than 1 ,Less than 1 ,2 to 10,"$100,001 to 250,000 USD"
Banking and finance,101 to 500,1,,1,1,1,1,1,"$100,001 to 250,000 USD"
Banking and finance,101 to 500,,1,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,"$100,001 to 250,000 USD"
Utilities,"15,001 to 50,000",2 to 10,26 to 100,26 to 100,26 to 100,11 to 25,101 to 1000,26 to 100,"$100,001 to 250,000 USD"
Government,"15,001 to 50,000",2 to 10,,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$100,001 to 250,000 USD"
Utilities,"2,001 to 5,000",,2 to 10,1,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,"$100,001 to 250,000 USD"
Cybersecurity,"5,001 to 10,000",101 to 1000,101 to 1000,Greater than 1000,Greater than 1000,101 to 1000,101 to 1000,26 to 100,"$100,001 to 250,000 USD"
Banking and finance,"5,001 to 10,000",1,2 to 10,11 to 25,11 to 25,26 to 100,101 to 1000,26 to 100,"$100,001 to 250,000 USD"
Cybersecurity,"50,001 to 100,000",11 to 25,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$100,001 to 250,000 USD"
Education,"501 to 1,000",2 to 10,26 to 100,Greater than 1000,2 to 10,2 to 10,11 to 25,2 to 10,"$100,001 to 250,000 USD"
Education,"501 to 1,000",2 to 10,26 to 100,Greater than 1000,2 to 10,2 to 10,11 to 25,2 to 10,"$100,001 to 250,000 USD"
Education,"501 to 1,000",2 to 10,26 to 100,Greater than 1000,2 to 10,2 to 10,11 to 25,2 to 10,"$100,001 to 250,000 USD"
Education,"501 to 1,000",2 to 10,26 to 100,Greater than 1000,2 to 10,2 to 10,11 to 25,2 to 10,"$100,001 to 250,000 USD"
Education,"501 to 1,000",26 to 100,2 to 10,2 to 10,1,11 to 25,,2 to 10,"$100,001 to 250,000 USD"
Education,"501 to 1,000",26 to 100,2 to 10,2 to 10,1,11 to 25,,2 to 10,"$100,001 to 250,000 USD"
Education,"501 to 1,000",26 to 100,2 to 10,2 to 10,1,11 to 25,,2 to 10,"$100,001 to 250,000 USD"
Insurance,"501 to 1,000",11 to 25,11 to 25,,2 to 10,2 to 10,2 to 10,11 to 25,"$100,001 to 250,000 USD"
Manufacturing,"501 to 1,000",26 to 100,11 to 25,11 to 25,11 to 25,11 to 25,,,"$100,001 to 250,000 USD"
Insurance,"501 to 1,000",11 to 25,26 to 100,11 to 25,11 to 25,26 to 100,11 to 25,2 to 10,"$100,001 to 250,000 USD"
Education,"501 to 1,000",1,1,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,"$100,001 to 250,000 USD"
Banking and finance,"501 to 1,000",2 to 10,2 to 10,2 to 10,1,Less than 1 ,1,1,"$100,001 to 250,000 USD"
Technology,Fewer than 100,,1,1,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,"$100,001 to 250,000 USD"
Cybersecurity,Fewer than 100,11 to 25,11 to 25,2 to 10,1,1,1,1,"$100,001 to 250,000 USD"
Technology,Fewer than 100,26 to 100,11 to 25,11 to 25,11 to 25,2 to 10,2 to 10,2 to 10,"$100,001 to 250,000 USD"
Banking and finance,Fewer than 100,11 to 25,26 to 100,2 to 10,2 to 10,11 to 25,11 to 25,2 to 10,"$100,001 to 250,000 USD"
Media,101 to 500,2 to 10,26 to 100,1,2 to 10,11 to 25,2 to 10,26 to 100,$16 million to $48 million USD
Insurance,"15,001 to 50,000",11 to 25,11 to 25,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,$16 million to $48 million USD
Technology,"2,001 to 5,000",,11 to 25,11 to 25,2 to 10,2 to 10,2 to 10,2 to 10,$16 million to $48 million USD
Banking and finance,"501 to 1,000",11 to 25,2 to 10,1,2 to 10,2 to 10,11 to 25,11 to 25,$16 million to $48 million USD
Retail,"10,001 to 15,000",1,1,Less than 1 ,1,1,1,1,$2 million to $4 million USD
Manufacturing,"15,001 to 50,000",2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,$2 million to $4 million USD
Technology,"15,001 to 50,000",26 to 100,2 to 10,2 to 10,11 to 25,2 to 10,2 to 10,2 to 10,$2 million to $4 million USD
Retail,"15,001 to 50,000",11 to 25,2 to 10,1,1,2 to 10,2 to 10,1,$2 million to $4 million USD
Banking and finance,"15,001 to 50,000",,11 to 25,1,2 to 10,2 to 10,2 to 10,2 to 10,$2 million to $4 million USD
Manufacturing,"15,001 to 50,000",2 to 10,1,2 to 10,1,2 to 10,1,Less than 1 ,$2 million to $4 million USD
Utilities,"2,001 to 5,000",11 to 25,1,Less than 1 ,2 to 10,Less than 1 ,11 to 25,Less than 1 ,$2 million to $4 million USD
Education,"2,001 to 5,000",101 to 1000,11 to 25,2 to 10,11 to 25,26 to 100,101 to 1000,11 to 25,$2 million to $4 million USD
Banking and finance,"5,001 to 10,000",11 to 25,2 to 10,2 to 10,2 to 10,2 to 10,1,Less than 1 ,$2 million to $4 million USD
Technology,"5,001 to 10,000",101 to 1000,,26 to 100,Greater than 1000,101 to 1000,26 to 100,101 to 1000,$2 million to $4 million USD
Healthcare,"5,001 to 10,000",2 to 10,2 to 10,Less than 1 ,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,$2 million to $4 million USD
Cybersecurity,"5,001 to 10,000",2 to 10,11 to 25,11 to 25,2 to 10,2 to 10,26 to 100,26 to 100,$2 million to $4 million USD
Telecommunications/ISP,"5,001 to 10,000",11 to 25,26 to 100,26 to 100,11 to 25,26 to 100,101 to 1000,26 to 100,$2 million to $4 million USD
Telecommunications/ISP,"50,001 to 100,000",,,26 to 100,Greater than 1000,11 to 25,26 to 100,2 to 10,$2 million to $4 million USD
Technology,"501 to 1,000",2 to 10,Less than 1 (part-time),1,1,Greater than 1000,Greater than 1000,2 to 10,$2 million to $4 million USD
Technology,"501 to 1,000",,,11 to 25,2 to 10,26 to 100,11 to 25,11 to 25,$2 million to $4 million USD
Education,"501 to 1,000",2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,11 to 25,11 to 25,$2 million to $4 million USD
Transportation,"More than 100,000",11 to 25,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,1,$2 million to $4 million USD
Technology,"More than 100,000",101 to 1000,26 to 100,2 to 10,2 to 10,11 to 25,26 to 100,2 to 10,$2 million to $4 million USD
Education,"1,001 to 2,000",11 to 25,2 to 10,11 to 25,1,2 to 10,1,2 to 10,"$250,001 to $500,000 USD"
Education,"1,001 to 2,000",11 to 25,2 to 10,11 to 25,1,2 to 10,1,2 to 10,"$250,001 to $500,000 USD"
Retail,"1,001 to 2,000",101 to 1000,26 to 100,2 to 10,11 to 25,11 to 25,2 to 10,2 to 10,"$250,001 to $500,000 USD"
Government,"1,001 to 2,000",,,,,,,,"$250,001 to $500,000 USD"
Education,"1,001 to 2,000",,,,,,,,"$250,001 to $500,000 USD"
Education,"1,001 to 2,000",,,,,,,,"$250,001 to $500,000 USD"
Government,"1,001 to 2,000",,,,,,,,"$250,001 to $500,000 USD"
