industry,orgSize,intSecStaff,intSecStaff2,intJuniorStaff,intGenStaff,intMonStaff,intIRStaff,intTIStaff,budget
Education,101 to 500,11 to 25,2 to 10,26 to 100,2 to 10,11 to 25,11 to 25,26 to 100,"$250,001 to $500,000 USD"
Education,101 to 500,11 to 25,2 to 10,26 to 100,2 to 10,11 to 25,11 to 25,26 to 100,"$250,001 to $500,000 USD"
Education,101 to 500,11 to 25,2 to 10,26 to 100,2 to 10,11 to 25,11 to 25,26 to 100,"$250,001 to $500,000 USD"
Education,101 to 500,11 to 25,2 to 10,26 to 100,2 to 10,11 to 25,11 to 25,26 to 100,"$250,001 to $500,000 USD"
Government,101 to 500,11 to 25,2 to 10,11 to 25,2 to 10,1,11 to 25,11 to 25,"$250,001 to $500,000 USD"
Government,101 to 500,11 to 25,2 to 10,11 to 25,2 to 10,1,11 to 25,11 to 25,"$250,001 to $500,000 USD"
Government,101 to 500,11 to 25,2 to 10,11 to 25,2 to 10,1,11 to 25,11 to 25,"$250,001 to $500,000 USD"
Government,101 to 500,11 to 25,2 to 10,11 to 25,2 to 10,1,11 to 25,11 to 25,"$250,001 to $500,000 USD"
Cybersecurity,101 to 500,2 to 10,1,2 to 10,1,11 to 25,2 to 10,1,"$250,001 to $500,000 USD"
Government,101 to 500,2 to 10,1,Less than 1 ,2 to 10,Less than 1 ,Less than 1 ,1,"$250,001 to $500,000 USD"
Banking and finance,101 to 500,2 to 10,2 to 10,1,1,Less than 1 ,Less than 1 ,Less than 1 ,"$250,001 to $500,000 USD"
Utilities,101 to 500,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$250,001 to $500,000 USD"
Banking and finance,101 to 500,11 to 25,26 to 100,26 to 100,Greater than 1000,101 to 1000,Greater than 1000,101 to 1000,"$250,001 to $500,000 USD"
Retail,101 to 500,11 to 25,11 to 25,2 to 10,,,,,"$250,001 to $500,000 USD"
Education,101 to 500,26 to 100,11 to 25,11 to 25,26 to 100,11 to 25,26 to 100,26 to 100,"$250,001 to $500,000 USD"
Retail,101 to 500,26 to 100,,11 to 25,11 to 25,26 to 100,26 to 100,11 to 25,"$250,001 to $500,000 USD"
Media,101 to 500,11 to 25,11 to 25,11 to 25,11 to 25,2 to 10,11 to 25,2 to 10,"$250,001 to $500,000 USD"
Media,"15,001 to 50,000",Greater than 1000,101 to 1000,26 to 100,26 to 100,26 to 100,26 to 100,26 to 100,"$250,001 to $500,000 USD"
Banking and finance,"2,001 to 5,000",11 to 25,2 to 10,2 to 10,11 to 25,2 to 10,11 to 25,2 to 10,"$250,001 to $500,000 USD"
Healthcare,"2,001 to 5,000",1,26 to 100,11 to 25,26 to 100,11 to 25,101 to 1000,101 to 1000,"$250,001 to $500,000 USD"
Cybersecurity,"2,001 to 5,000",11 to 25,11 to 25,2 to 10,2 to 10,2 to 10,1,1,"$250,001 to $500,000 USD"
Technology,"5,001 to 10,000",2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,1,Less than 1 ,"$250,001 to $500,000 USD"
Other (Please specify),"5,001 to 10,000",26 to 100,11 to 25,11 to 25,2 to 10,1,1,,"$250,001 to $500,000 USD"
Government,"5,001 to 10,000",101 to 1000,11 to 25,2 to 10,26 to 100,101 to 1000,101 to 1000,11 to 25,"$250,001 to $500,000 USD"
Manufacturing,"501 to 1,000",11 to 25,2 to 10,11 to 25,11 to 25,2 to 10,2 to 10,2 to 10,"$250,001 to $500,000 USD"
Manufacturing,"501 to 1,000",2 to 10,2 to 10,2 to 10,11 to 25,2 to 10,1,1,"$250,001 to $500,000 USD"
Cybersecurity,"501 to 1,000",2 to 10,1,11 to 25,11 to 25,11 to 25,2 to 10,2 to 10,"$250,001 to $500,000 USD"
Government,"501 to 1,000",,,,,,,,"$250,001 to $500,000 USD"
Government,"501 to 1,000",,,,,,,,"$250,001 to $500,000 USD"
Healthcare,"501 to 1,000",2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$250,001 to $500,000 USD"
Other (Please specify),Fewer than 100,,,1,,,,,"$250,001 to $500,000 USD"
Banking and finance,Fewer than 100,Less than 1 (part-time),26 to 100,Less than 1 ,1,1,Less than 1 ,Less than 1 ,"$250,001 to $500,000 USD"
Banking and finance,Fewer than 100,11 to 25,2 to 10,2 to 10,11 to 25,2 to 10,11 to 25,2 to 10,"$250,001 to $500,000 USD"
Banking and finance,"More than 100,000",11 to 25,2 to 10,Less than 1 ,1,1,Less than 1 ,Less than 1 ,"$250,001 to $500,000 USD"
Technology,"10,001 to 15,000",,101 to 1000,101 to 1000,11 to 25,11 to 25,101 to 1000,26 to 100,$4 million to $8 million USD
Education,101 to 500,26 to 100,26 to 100,,2 to 10,,,2 to 10,$4 million to $8 million USD
Manufacturing,"15,001 to 50,000",26 to 100,26 to 100,101 to 1000,101 to 1000,11 to 25,11 to 25,11 to 25,$4 million to $8 million USD
Cybersecurity,"2,001 to 5,000",1,11 to 25,11 to 25,26 to 100,11 to 25,Greater than 1000,Greater than 1000,$4 million to $8 million USD
Banking and finance,"2,001 to 5,000",2 to 10,2 to 10,1,2 to 10,2 to 10,2 to 10,1,$4 million to $8 million USD
Government,"2,001 to 5,000",1,1,Less than 1 ,1,Less than 1 ,1,Less than 1 ,$4 million to $8 million USD
Media,"2,001 to 5,000",26 to 100,26 to 100,101 to 1000,26 to 100,26 to 100,11 to 25,101 to 1000,$4 million to $8 million USD
Insurance,"5,001 to 10,000",2 to 10,Less than 1 (part-time),1,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,$4 million to $8 million USD
Technology,"5,001 to 10,000",26 to 100,11 to 25,11 to 25,2 to 10,Less than 1 ,2 to 10,2 to 10,$4 million to $8 million USD
Media,"50,001 to 100,000",,11 to 25,26 to 100,2 to 10,11 to 25,2 to 10,101 to 1000,$4 million to $8 million USD
Utilities,"501 to 1,000",11 to 25,,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,$4 million to $8 million USD
Banking and finance,"501 to 1,000",,Less than 1 (part-time),1,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,$4 million to $8 million USD
Government,"1,001 to 2,000",,,,,,,,"$500,001 to $750,000 USD"
Education,"1,001 to 2,000",11 to 25,26 to 100,26 to 100,11 to 25,,26 to 100,,"$500,001 to $750,000 USD"
Technology,"10,001 to 15,000",26 to 100,Greater than 1000,2 to 10,26 to 100,26 to 100,11 to 25,26 to 100,"$500,001 to $750,000 USD"
Manufacturing,101 to 500,11 to 25,,,11 to 25,,,,"$500,001 to $750,000 USD"
Banking and finance,101 to 500,11 to 25,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,1,"$500,001 to $750,000 USD"
Banking and finance,101 to 500,26 to 100,2 to 10,2 to 10,11 to 25,26 to 100,101 to 1000,26 to 100,"$500,001 to $750,000 USD"
Technology,101 to 500,26 to 100,11 to 25,26 to 100,26 to 100,2 to 10,11 to 25,26 to 100,"$500,001 to $750,000 USD"
Banking and finance,101 to 500,,2 to 10,2 to 10,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,"$500,001 to $750,000 USD"
Manufacturing,101 to 500,26 to 100,11 to 25,26 to 100,11 to 25,11 to 25,11 to 25,26 to 100,"$500,001 to $750,000 USD"
Media,101 to 500,11 to 25,,11 to 25,2 to 10,11 to 25,26 to 100,2 to 10,"$500,001 to $750,000 USD"
Manufacturing,101 to 500,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$500,001 to $750,000 USD"
Manufacturing,101 to 500,11 to 25,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$500,001 to $750,000 USD"
Cybersecurity,101 to 500,11 to 25,26 to 100,11 to 25,26 to 100,26 to 100,11 to 25,11 to 25,"$500,001 to $750,000 USD"
Healthcare,"15,001 to 50,000",2 to 10,Less than 1 (part-time),1,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,"$500,001 to $750,000 USD"
Government,"15,001 to 50,000",,,,,,,,"$500,001 to $750,000 USD"
Telecommunications/ISP,"15,001 to 50,000",2 to 10,1,2 to 10,11 to 25,11 to 25,11 to 25,1,"$500,001 to $750,000 USD"
Cybersecurity,"2,001 to 5,000",11 to 25,26 to 100,26 to 100,101 to 1000,26 to 100,26 to 100,26 to 100,"$500,001 to $750,000 USD"
Education,"2,001 to 5,000",101 to 1000,11 to 25,26 to 100,26 to 100,2 to 10,101 to 1000,11 to 25,"$500,001 to $750,000 USD"
Technology,"2,001 to 5,000",2 to 10,2 to 10,1,1,2 to 10,2 to 10,2 to 10,"$500,001 to $750,000 USD"
Nonprofit/Association,"2,001 to 5,000",2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$500,001 to $750,000 USD"
Education,"2,001 to 5,000",2 to 10,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,"$500,001 to $750,000 USD"
Healthcare,"5,001 to 10,000",11 to 25,2 to 10,,2 to 10,,,,"$500,001 to $750,000 USD"
Retail,"5,001 to 10,000",11 to 25,26 to 100,11 to 25,26 to 100,26 to 100,101 to 1000,2 to 10,"$500,001 to $750,000 USD"
Media,"5,001 to 10,000",2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$500,001 to $750,000 USD"
Education,"5,001 to 10,000",2 to 10,2 to 10,Less than 1 ,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,"$500,001 to $750,000 USD"
Manufacturing,"50,001 to 100,000",,Greater than 1000,2 to 10,2 to 10,1,2 to 10,1,"$500,001 to $750,000 USD"
Manufacturing,"50,001 to 100,000",26 to 100,2 to 10,2 to 10,11 to 25,11 to 25,11 to 25,2 to 10,"$500,001 to $750,000 USD"
Cybersecurity,"501 to 1,000",101 to 1000,26 to 100,26 to 100,11 to 25,11 to 25,1,26 to 100,"$500,001 to $750,000 USD"
Telecommunications/ISP,"501 to 1,000",11 to 25,2 to 10,11 to 25,2 to 10,11 to 25,26 to 100,2 to 10,"$500,001 to $750,000 USD"
Banking and finance,"501 to 1,000",Less than 1 (part-time),,Greater than 1000,11 to 25,101 to 1000,,Greater than 1000,"$500,001 to $750,000 USD"
Transportation,"501 to 1,000",,2 to 10,Less than 1 ,1,Less than 1 ,Less than 1 ,Less than 1 ,"$500,001 to $750,000 USD"
Cybersecurity,"501 to 1,000",26 to 100,101 to 1000,26 to 100,11 to 25,11 to 25,26 to 100,26 to 100,"$500,001 to $750,000 USD"
Cybersecurity,Fewer than 100,11 to 25,11 to 25,2 to 10,11 to 25,11 to 25,101 to 1000,2 to 10,"$500,001 to $750,000 USD"
Government,Fewer than 100,11 to 25,2 to 10,2 to 10,11 to 25,2 to 10,11 to 25,2 to 10,"$500,001 to $750,000 USD"
Technology,"1,001 to 2,000",,2 to 10,,2 to 10,,,,"$750,001 to $1,000,000 USD"
Nonprofit/Association,"10,001 to 15,000",11 to 25,2 to 10,2 to 10,2 to 10,1,11 to 25,2 to 10,"$750,001 to $1,000,000 USD"
Nonprofit/Association,"10,001 to 15,000",11 to 25,2 to 10,2 to 10,2 to 10,1,11 to 25,2 to 10,"$750,001 to $1,000,000 USD"
Nonprofit/Association,"10,001 to 15,000",11 to 25,2 to 10,2 to 10,2 to 10,1,11 to 25,2 to 10,"$750,001 to $1,000,000 USD"
Media,"10,001 to 15,000",2 to 10,2 to 10,1,11 to 25,2 to 10,2 to 10,11 to 25,"$750,001 to $1,000,000 USD"
Technology,101 to 500,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,1,1,"$750,001 to $1,000,000 USD"
Technology,101 to 500,2 to 10,2 to 10,1,1,2 to 10,2 to 10,Less than 1 ,"$750,001 to $1,000,000 USD"
Education,101 to 500,1,11 to 25,1,1,1,1,Less than 1 ,"$750,001 to $1,000,000 USD"
Manufacturing,101 to 500,1,2 to 10,2 to 10,2 to 10,2 to 10,1,2 to 10,"$750,001 to $1,000,000 USD"
Manufacturing,101 to 500,1,2 to 10,1,1,1,1,1,"$750,001 to $1,000,000 USD"
Manufacturing,101 to 500,1,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$750,001 to $1,000,000 USD"
Manufacturing,101 to 500,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$750,001 to $1,000,000 USD"
Retail,"15,001 to 50,000",11 to 25,2 to 10,2 to 10,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,"$750,001 to $1,000,000 USD"
Banking and finance,"15,001 to 50,000",2 to 10,2 to 10,2 to 10,2 to 10,1,2 to 10,1,"$750,001 to $1,000,000 USD"
Healthcare,"15,001 to 50,000",,,,,,,,"$750,001 to $1,000,000 USD"
Banking and finance,"15,001 to 50,000",11 to 25,11 to 25,2 to 10,2 to 10,,2 to 10,2 to 10,"$750,001 to $1,000,000 USD"
Government,"2,001 to 5,000",26 to 100,26 to 100,101 to 1000,26 to 100,11 to 25,26 to 100,101 to 1000,"$750,001 to $1,000,000 USD"
Banking and finance,"5,001 to 10,000",11 to 25,2 to 10,2 to 10,26 to 100,101 to 1000,26 to 100,26 to 100,"$750,001 to $1,000,000 USD"
Banking and finance,"501 to 1,000",2 to 10,1,1,Less than 1 ,1,Less than 1 ,Less than 1 ,"$750,001 to $1,000,000 USD"
Insurance,"501 to 1,000",2 to 10,Less than 1 (part-time),1,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,"$750,001 to $1,000,000 USD"
Manufacturing,"501 to 1,000",1,1,11 to 25,26 to 100,2 to 10,11 to 25,2 to 10,"$750,001 to $1,000,000 USD"
Banking and finance,"501 to 1,000",2 to 10,2 to 10,Less than 1 ,2 to 10,2 to 10,2 to 10,Less than 1 ,"$750,001 to $1,000,000 USD"
Utilities,"501 to 1,000",,2 to 10,2 to 10,1,2 to 10,2 to 10,2 to 10,"$750,001 to $1,000,000 USD"
Telecommunications/ISP,"More than 100,000",,Greater than 1000,11 to 25,11 to 25,11 to 25,11 to 25,11 to 25,"$750,001 to $1,000,000 USD"
Other (Please specify),"More than 100,000",26 to 100,11 to 25,2 to 10,2 to 10,26 to 100,11 to 25,2 to 10,"$750,001 to $1,000,000 USD"
Insurance,"More than 100,000",2 to 10,1,2 to 10,2 to 10,1,2 to 10,,"$750,001 to $1,000,000 USD"
Government,"1,001 to 2,000",101 to 1000,101 to 1000,101 to 1000,Greater than 1000,101 to 1000,26 to 100,101 to 1000,$8 million to $16 million USD
Manufacturing,"1,001 to 2,000",11 to 25,2 to 10,101 to 1000,11 to 25,26 to 100,11 to 25,101 to 1000,$8 million to $16 million USD
Insurance,"15,001 to 50,000",11 to 25,2 to 10,2 to 10,11 to 25,2 to 10,2 to 10,2 to 10,$8 million to $16 million USD
Hospitality,"15,001 to 50,000",26 to 100,2 to 10,2 to 10,2 to 10,26 to 100,2 to 10,2 to 10,$8 million to $16 million USD
Cybersecurity,"5,001 to 10,000",26 to 100,,11 to 25,11 to 25,11 to 25,2 to 10,2 to 10,$8 million to $16 million USD
Education,"50,001 to 100,000",101 to 1000,26 to 100,101 to 1000,101 to 1000,26 to 100,Greater than 1000,101 to 1000,$8 million to $16 million USD
Hospitality,"50,001 to 100,000",26 to 100,2 to 10,2 to 10,2 to 10,11 to 25,2 to 10,2 to 10,$8 million to $16 million USD
Technology,"More than 100,000",,26 to 100,2 to 10,26 to 100,26 to 100,101 to 1000,101 to 1000,$8 million to $16 million USD
Healthcare,"15,001 to 50,000",26 to 100,26 to 100,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,Greater than  $48M USD
Other (Please specify),"501 to 1,000",101 to 1000,26 to 100,26 to 100,11 to 25,11 to 25,26 to 100,26 to 100,Greater than  $48M USD
